domain,DMARC,SPF,MX,A,CNAME,TXT,NS,DNSSEC
acgt.asia,"""v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s; pct=100;""","""v=spf1 -all""",NO_RECORD,182.255.20.44,NO_RECORD,"""v=spf1 -all""",egns1.genting.com.; egns2.genting.com.; egns4.genting.com.,NO_RECORD
acgt.com,"""v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s; pct=100;""","""v=spf1 -all""",NO_RECORD,103.246.205.242,NO_RECORD,"""v=spf1 -all""",ns-1134.awsdns-13.org.; ns-161.awsdns-20.com.; ns-1848.awsdns-39.co.uk.; ns-598.awsdns-10.net.,NO_RECORD
acgt.com.my,NODOMAIN,NONE,NO_RECORD,182.255.20.44,NO_RECORD,NO_RECORD,egns1.genting.com.; egns2.genting.com.; egns4.genting.com.,NO_RECORD
acgt.com.sg,NODOMAIN,NONE,NO_RECORD,NO_RECORD,NO_RECORD,NO_RECORD,egns1.genting.com.; egns2.genting.com.; egns4.genting.com.,NO_RECORD
acgt.my,NODOMAIN,NONE,NO_RECORD,NO_RECORD,NO_RECORD,NO_RECORD,egns1.genting.com.; egns2.genting.com.,NO_RECORD
agtechcity.com,"""v=DMARC1;"" ""p=reject;""","""v=spf1 -all""",NO_RECORD,127.0.0.1; 103.246.205.243,NO_RECORD,"""v=spf1 -all""",egns1.genting.com.; egns2.genting.com.; egns4.genting.com.,NO_RECORD
agtechcity.com.my,"""v=DMARC1;, p=reject;""","""v=spf1 -all""",NO_RECORD,103.246.205.243,NO_RECORD,"""v=spf1 -all""",egns1.genting.com.; egns2.genting.com.; egns4.genting.com.,NO_RECORD
asianindo.com,"""v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s; pct=100;""","""v=spf1 -all""",NO_RECORD,NO_RECORD,NO_RECORD,"""v=spf1 -all""",dns1-parking.masterweb.com.; dns2-parking.masterweb.com.,NO_RECORD
asianindogroup.com,"""v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s; pct=100;""","""v=spf1 -all""",NO_RECORD,NO_RECORD,NO_RECORD,"""v=spf1 -all""",dns1-parking.masterweb.com.; dns2-parking.masterweb.com.,NO_RECORD
asianindoholdings.com,"""v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s; pct=100;""","""v=spf1 -all""",NO_RECORD,NO_RECORD,NO_RECORD,"""v=spf1 -all""",dns1-parking.masterweb.com.; dns2-parking.masterweb.com.,NO_RECORD
asiatic.com.my,"""v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s; pct=100;""","""v=spf1 -all""",NO_RECORD,NO_RECORD,NO_RECORD,"""v=spf1 -all""",egns1.genting.com.; egns2.genting.com.; egns4.genting.com.,NO_RECORD
asiatic.my,SERVFAIL,NONE,SERVFAIL,208.91.112.55,SERVFAIL,SERVFAIL,dns1.egenting.com.; gfw1.genting.com.my.,NO_RECORD
